0|30|30
35|90|60
-31|90|90
0|90|90
-9|10|10
-13|60|90
4|80|90
12|75|90
-58|40|90
-39|60|90
40|70|90
8|50|90
-10|50|90
-4|70|90
7|60|90
0|50|90
0|40|90
0|40|90
0|50|90
0|40|90
0|40|90
-13|60|90
-2|35|90
7|50|90
-5|70|90
37|50|90
46|55|90
45|50|90
11|50|90
11|45|90
43|50|90
40|45|90
3|30|90
0|35|90
2|25|90
11|35|90
1|50|85
4|55|90
2|70|90
2|70|90
-1|40|90
-1|20|90
1|25|90
9|40|90
-9|50|90
-2|25|90
-2|60|90
-2|35|90
-1|90|90
-1|90|90
-3|90|90
-1|60|60
12|60|60
7|90|90
13|70|90
-14|70|40
-14|70|40
9|60|90
-5|100|100
-4|95|95
1|50|50
24|30|30
2|50|50
3|50|50
-2|50|30
-22|50|30
-3|60|30
-1|60|40
4|80|80
4|80|80
-30|60|30
-30|60|35
0|30|30
25|90|30
7|100|70
-2|85|80
0|40|100
1|80|40
-9|60|30
60|90|30
11|90|75
10|90|40
17|55|30
-2|100|50
2|100|50
-10|90|40
25|90|40
13|70|40
11|100|40
-2|100|40
36|100|60
2|100|100
0|100|35
47|100|100
20|80|100
7|100|100
7|100|100
3|60|100
40|50|100
5|50|100
-10|55|100
0|100|100
6|60|100
3|60|100
10|50|100
4|60|80
7|60|100
-1|50|30
-4|50|40
-38|100|100
7|20|100
-4|10|100
1|60|100
-26|40|100
9|40|100
-3|100|50
0|100|100
-20|30|30
-12|100|100
-4|60|80
5|30|80
2|80|60
2|60|100
-7|60|60
46|100|60
11|100|100
4|50|100
1|50|100
-14|55|95
-20|55|50
2|60|50
48|80|50
40|75|50
-4|100|25
-8|60|25
0|40|25
-6|100|100
-16|90|60
-32|70|50
35|100|100
-6|50|100
-5|50|55
13|90|40
0|70|100
-23|70|100
4|70|40
-31|70|50
-37|70|60
-43|70|70
-55|100|90
-12|100|60
-3|50|70
5|20|70
0|60|50
9|60|100
-9|20|100
-5|40|100
-24|40|30
-32|40|50
12|50|100
-60|50|100
22|100|40
29|100|50
0|100|40
-2|100|30
4|100|40
18|50|100
-6|60|100
-1|100|30
0|20|100
6|30|100
18|40|100
36|50|100
36|60|100
30|50|100
-11|50|100
13|40|100
-21|70|100
-9|40|100
-6|65|100
-18|65|40
0|100|50
1|80|100
12|100|40
12|85|40
-6|50|100
-12|45|100
-5|50|100
6|40|100
12|100|100
0|60|100
-11|60|100
-20|35|100
-15|60|100
33|90|100
4|70|100
-1|70|40
-18|100|20
-29|100|100
12|80|100
19|70|100
26|75|100
14|50|100
-4|50|100
-24|40|100
0|100|40
0|40|40
0|40|40
0|60|40
0|50|40
0|60|40
0|60|10
0|80|10
15|40|100
6|50|100
38|50|100
30|100|100
5|60|100
-100|100|50
-100|100|75
-100|100|100
0|100|90
0|100|100
-6|100|100
0|90|60
2|10|10
0|10|10
-12|100|70
-16|100|100
0|100|100
0|100|100
0|100|100
-68|100|70
-64|100|70
-24|100|70
-44|100|70
-40|100|70
-40|100|70
84|100|70
24|100|70
100|100|70
24|100|70
12|100|70
-36|100|70
32|100|70
-24|100|70
28|100|70
32|100|70
16|100|70
-36|100|70
32|100|70
12|100|70
-80|100|70
-76|100|70
-60|100|70
8|100|70
-24|100|70
0|100|70
12|100|70
-4|100|70
-12|100|70
-20|100|70
-54|100|70
2|100|70
-16|100|70
-4|100|70
-16|100|70
4|100|70
-72|100|70
-36|100|70
-28|100|70
-68|100|70
8|100|70
-8|100|70
-18|100|70
-28|100|70
3|100|70
-40|100|70
11|35|50
8|60|55
-100|50|50
-100|50|50
-100|50|50
-28|50|50
28|15|100
36|15|100
12|100|15
-8|100|70
-36|100|70
0|100|70
-5|100|70
-65|100|75
-3|100|70
0|100|70
0|100|70
-3|100|70
0|100|70
0|60|15
5|60|15
-48|65|15
-8|100|70
12|100|15
5|100|50
15|50|100
-24|100|70
-16|100|70
0|100|70
10|25|100
11|100|100
-4|100|70
8|100|70
16|100|70
-32|100|70
-44|100|70
-24|100|70
10|50|100
0|100|50
0|100|70
0|100|70
-16|100|70
0|100|70
-3|100|70
-100|80|10
-8|100|50
0|100|55
0|100|50
-5|100|100
8|100|50
-5|100|70
-28|90|100
1|65|40
0|70|80
10|100|60
-12|100|60
0|100|50
-15|40|40
-13|20|20
43|60|50
38|70|60
38|70|60
-10|100|70
-10|55|100
4|55|100
-82|10|100
22|55|100
-4|55|100
6|55|100
6|45|100
1|45|100
0|55|100
8|65|100
4|40|100
2|40|100
5|45|100
6|45|100
39|65|100
20|55|100
35|50|100
13|55|100
30|55|100
0|40|100
8|40|100
8|50|100
-10|55|100
-43|40|100
23|50|100
0|40|100
1|45|100
5|40|100
0|40|100
0|70|50
-20|70|50
0|75|50
-8|60|40
-5|50|100
-2|55|100
-2|55|100
-30|80|70
0|50|100
0|45|100
0|50|100
20|100|100
13|75|100
32|85|100
2|100|50
6|85|45
6|85|50
5|80|50
-5|65|45
20|75|45
-12|85|50
-0|75|20
-10|75|30
